stock_code,user_id,direction,executed_price,executed_quantity,original_quantity,unfilled_quantity,timestamp
CPEI,68729481551,buy,10.67,48200,48200,0,2023-06-15 13:26:33.462114
CPEI,71289594571,buy,10.67,56200,56200,0,2023-06-15 10:35:30.183614
CPEI,16704257100,buy,10.67,55700,55700,0,2023-06-15 13:04:12.751521
CPEI,40232921379,buy,10.67,53300,53300,0,2023-06-15 14:29:11.418139
CPEI,19138803449,buy,10.67,55400,55400,0,2023-06-15 10:34:37.194546
CPEI,91900676843,buy,10.67,118900,118900,0,2023-06-15 09:49:19.692478
CPEI,46175951711,buy,10.67,59000,59000,0,2023-06-15 10:35:05.740852
CPEI,83965392369,buy,10.67,78200,78200,0,2023-06-15 14:33:35.997789
CPEI,26664066972,buy,10.67,55200,55200,0,2023-06-15 11:26:39.175358
CPEI,70182749572,buy,10.67,62500,62500,0,2023-06-15 13:44:40.355671
CPEI,83879940631,buy,10.67,48600,48600,0,2023-06-15 11:28:43.765546
CPEI,17054827039,buy,10.67,85200,85200,0,2023-06-15 14:59:20.971609
CPEI,65332635175,buy,10.67,55500,55500,0,2023-06-15 13:29:36.913188
CPEI,58754900990,buy,10.67,53000,53000,0,2023-06-15 14:10:06.546452
CPEI,27707247795,buy,10.67,56200,56200,0,2023-06-15 14:25:46.686119
CPEI,41568039525,buy,10.67,56100,56100,0,2023-06-15 14:27:32.034680
CPEI,19523927125,buy,10.67,55500,55500,0,2023-06-15 09:42:34.592024
CPEI,24449518783,buy,10.67,84600,84600,0,2023-06-15 10:56:55.087059
CPEI,24851289363,buy,10.67,186700,186700,0,2023-06-15 10:07:22.934006
CPEI,53464880944,buy,10.67,58300,58300,0,2023-06-15 10:23:03.072426
CPEI,58968364993,buy,10.67,932000,932000,0,2023-06-15 13:00:09.057984
CPEI,91857796008,buy,10.67,49300,49300,0,2023-06-15 13:40:16.570399
CPEI,93531157884,buy,10.67,56000,56000,0,2023-06-15 14:19:19.717940
CPEI,71310526591,buy,10.67,95800,95800,0,2023-06-15 14:54:54.905063
CPEI,71178502526,buy,10.67,90900,90900,0,2023-06-15 10:13:12.765228
CPEI,18112277402,buy,10.67,56600,56600,0,2023-06-15 13:06:03.560945
CPEI,22216456756,buy,10.67,58800,58800,0,2023-06-15 13:24:08.952981
CPEI,63508321929,buy,10.67,100900,100900,0,2023-06-15 14:14:51.686393
CPEI,92717743615,buy,10.67,54700,54700,0,2023-06-15 10:55:12.221976
